"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
856,"CA",1499,"12/16/13","Unauthorized Access/Disclosure","Network Server","Yes"
857,"WY",11935,"12/16/13","Unauthorized Access/Disclosure","Network Server","No"
858,"MT",1900,"12/17/13","Unauthorized Access/Disclosure","Desktop Computer, Email","No"
859,"SC",3432,"12/18/13","Theft","Laptop","Yes"
860,"WY",11935,"12/19/13","Hacking/IT Incident","Network Server","No"
861,"TN",2777,"12/19/13","Theft","Laptop","Yes"
862,"CA",1674,"12/20/13","Loss","Paper/Films","Yes"
863,"TX",2826,"12/21/13","Other","Paper/Films","No"
864,"CA",1400,"12/23/13","Theft","Desktop Computer","No"
865,"MA",832,"12/23/13","Unauthorized Access/Disclosure","Email","No"
866,"NC",1683,"12/23/13","Other","Paper/Films","No"
867,"FL",2354,"12/23/13","Unauthorized Access/Disclosure","Desktop Computer","No"
868,"FL",9017,"12/31/13","Hacking/IT Incident","Laptop, Network Server","No"
869,"NM",12354,"12/31/13","Theft","Laptop","No"
870,"CO",1918,"1/2/14","Unauthorized Access/Disclosure","Email","Yes"
871,"NJ",839711,"1/3/14","Theft","Laptop","Yes"
872,"GA",6989,"1/3/14","Loss","Desktop Computer","No"
873,"WA",2500,"1/3/14","Theft","Email, Laptop, Network Server","No"
874,"MI",3000,"1/6/14","Other","Paper/Films","Yes"
875,"NC",48752,"1/6/14","Unauthorized Access/Disclosure","Other","No"
876,"CA",2500,"1/8/14","Theft","Laptop","Yes"
877,"MS",1489,"1/10/14","Hacking/IT Incident","Network Server","No"
878,"VA",25513,"1/10/14","Theft","Paper/Films","Yes"
879,"IL",22511,"1/11/14","Other","Email","No"
880,"OH",953,"1/13/14","Unknown","Other","No"
881,"OH",4230,"1/13/14","Theft","Network Server","No"
882,"TN",9602,"1/15/14","Theft","Laptop","No"
884,"CT",858,"1/16/14","Theft","Paper/Films","No"
885,"VA",3861,"1/16/14","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No"
886,"MI",5370,"1/16/14","Theft","Network Server","No"
887,"KS",1700,"1/21/14","Unauthorized Access/Disclosure","Other Portable Electronic Device","No"
888,"NY",937,"1/21/14","Theft","Desktop Computer, Paper/Films","No"
889,"NY",2172,"1/22/14","Loss","Other Portable Electronic Device","No"
890,"PA",3101,"1/23/14","Loss","Paper/Films","No"
891,"CA",611,"1/24/14","Theft","Laptop","Yes"
892,"PR",8000,"1/24/14","Theft, Unauthorized Access/Disclosure","Network Server","Yes"
893,"AL",1085,"1/24/14","Other","Other","Yes"
894,"OH",1420,"1/27/14","Unauthorized Access/Disclosure","Paper/Films","Yes"
895,"WI",41437,"1/30/14","Loss","Other Portable Electronic Device","Yes"
896,"TX",3598,"1/31/14","Loss","Other Portable Electronic Device","No"
897,"IL",836,"1/31/14","Loss","Paper/Films","No"
898,"DE",1883,"1/31/14","Other","Laptop","No"
899,"TX",405000,"2/5/14","Hacking/IT Incident","Network Server","No"
900,"CA",4676,"2/5/14","Theft","Other Portable Electronic Device","No"
901,"CA",3026,"2/7/14","Theft","Laptop","No"
902,"GA",841,"2/7/14","Theft","Laptop","No"
903,"IL",16446,"2/10/14","Theft","Electronic Medical Record, Other","No"
904,"WA",3104,"2/11/14","Other, Unauthorized Access/Disclosure","Paper/Films","No"
905,"NY",6475,"2/12/14","Other, Theft","Laptop","No"
906,"FL",13074,"2/12/14","Loss","Paper/Films","No"
907,"PA",593,"2/13/14","Unauthorized Access/Disclosure","Network Server","No"
908,"OH",1139,"2/14/14","Theft","Other","No"
909,"CA",2269,"2/14/14","Hacking/IT Incident","Email","No"
910,"IN",1142,"2/18/14","Theft","Laptop","No"
911,"MN",10024,"2/21/14","Unauthorized Access/Disclosure","Network Server","Yes"
912,"MN",520,"2/21/14","Unauthorized Access/Disclosure","Network Server","Yes"
913,"MN",4786,"2/21/14","Unauthorized Access/Disclosure","Network Server","Yes"
914,"NJ",1411,"2/21/14","Theft","Desktop Computer","No"
915,"MN",1511,"2/25/14","Unauthorized Access/Disclosure","Network Server","Yes"
916,"VA",3458,"2/26/14","Theft","Laptop","No"
917,"PA",8845,"2/26/14","Other, Unauthorized Access/Disclosure","Other","Yes"
918,"OH",504,"2/26/14","Other","Electronic Medical Record","No"
919,"NC",548,"2/26/14","Loss, Theft","Laptop","No"
920,"TX",7500,"2/27/14","Theft","Desktop Computer","No"
921,"GA",600,"2/28/14","Other","Other","Yes"
922,"CA",3534,"3/4/14","Improper Disposal","Paper/Films","No"
923,"TX",3300,"3/5/14","Hacking/IT Incident","Network Server","Yes"
924,"AZ",55207,"3/5/14","Other","Other","No"
925,"AL",1145,"3/7/14","Hacking/IT Incident","Network Server","Yes"
926,"AL",1179,"3/10/14","Hacking/IT Incident","Network Server","Yes"
927,"IA",2042,"3/10/14","Other","Email, Laptop, Other Portable Electronic Device","No"
928,"CA",7800,"3/12/14","Theft","Email","No"
929,"CA",9861,"3/12/14","Theft","Desktop Computer","No"
930,"MI",1087,"3/13/14","Theft, Unauthorized Access/Disclosure","Paper/Films","No"
931,"TX",5000,"3/13/14","Theft","Other","No"
932,"CO",5415,"3/14/14","Hacking/IT Incident","Desktop Computer, Laptop","No"
933,"AZ",1706,"3/16/14","Theft","Laptop","No"
934,"TX",2260,"3/17/14","Improper Disposal, Loss","Other Portable Electronic Device","Yes"
935,"MN",1746,"3/18/14","Unauthorized Access/Disclosure","Network Server","Yes"
936,"KY",1000,"3/20/14","Other","Electronic Medical Record","No"
937,"MN",27839,"3/21/14","Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device","No"
938,"MN",796,"3/21/14","Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device","Yes"
939,"MN",1699,"3/21/14","Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device","Yes"
940,"MN",715,"3/21/14","Loss, Unauthorized Access/Disclosure","Desktop Computer, Laptop, Other Portable Electronic Device","Yes"
941,"CA",55900,"3/21/14","Theft","Desktop Computer","Yes"
942,"CA",55900,"3/21/14","Theft","Desktop Computer","Yes"
943,"WA",1079,"3/24/14","Theft","Laptop","Yes"
944,"MT",543,"3/24/14","Loss","Paper/Films","No"
945,"FL",586,"3/24/14","Loss","Other Portable Electronic Device","No"
946,"IL",1000,"3/25/14","Theft","Laptop, Other Portable Electronic Device","No"
947,"VA",5534,"3/27/14","Loss, Other","Other Portable Electronic Device","No"
948,"PA",657,"3/27/14","Unauthorized Access/Disclosure","Email","No"
949,"WA",8300,"3/28/14","Other","Email","No"
950,"CA",5499,"3/28/14","Theft","Other Portable Electronic Device","No"
951,"UT",643,"3/29/14","Unauthorized Access/Disclosure","Email","No"
952,"TX",1000,"3/31/14","Unauthorized Access/Disclosure","Other","Yes"
953,"FL",580,"3/31/14","Unauthorized Access/Disclosure","Paper/Films","Yes"
954,"IL",1256,"3/31/14","Hacking/IT Incident","Email","No"
955,"MD",214000,"4/1/14","Unauthorized Access/Disclosure","Laptop","No"
956,"CA",5178,"4/2/14","Hacking/IT Incident","Network Server","No"
957,"MI",2595,"4/3/14","Theft","Other Portable Electronic Device","No"
958,"IL",836,"4/4/14","Other","Paper/Films","No"
959,"KS",979,"4/9/14","Loss","Paper/Films","No"
960,"CT",527,"4/9/14","Loss","Paper/Films","Yes"
961,"VA",75026,"4/10/14","Theft","Paper/Films","Yes"
962,"MO",2546,"4/11/14","Unauthorized Access/Disclosure","Other","No"
963,"CA",793,"4/14/14","Loss","Other Portable Electronic Device","No"
964,"MD",5000,"4/15/14","Unauthorized Access/Disclosure","Other","No"
965,"PR",7911,"4/15/14","Theft","Other Portable Electronic Device","Yes"
967,"MS",3750,"4/16/14","Theft","Other","No"
968,"MD",10766,"4/17/14","Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server","Yes"
969,"GA",2523,"4/17/14","Theft, Unauthorized Access/Disclosure","Paper/Films","Yes"
970,"OH",617,"4/18/14","Loss","Paper/Films","No"
971,"IA",1400,"4/18/14","Unauthorized Access/Disclosure","Paper/Films","Yes"
972,"ID",6900,"4/18/14","Theft","Other Portable Electronic Device","No"
973,"CO",12286,"4/22/14","Hacking/IT Incident","Email","No"
974,"FL",2365,"4/23/14","Theft, Unauthorized Access/Disclosure","Laptop","No"
975,"MA",8830,"4/24/14","Theft","Other","No"
976,"DC",2200,"4/24/14","Unauthorized Access/Disclosure","Paper/Films","Yes"
977,"NY",4830,"4/24/14","Unauthorized Access/Disclosure","Email","No"
978,"UT",9800,"4/24/14","Hacking/IT Incident","Network Server","Yes"
979,"TX",1253,"4/25/14","Hacking/IT Incident","Email","No"
980,"TX",2308,"4/25/14","Hacking/IT Incident","Email","No"
981,"TX",1981,"4/25/14","Hacking/IT Incident","Email","No"
982,"TX",2742,"4/25/14","Hacking/IT Incident","Email","No"
983,"IN",1361,"4/25/14","Hacking/IT Incident","Network Server","Yes"
984,"IA",862,"4/25/14","Unauthorized Access/Disclosure","Paper/Films","No"
985,"AL",629,"4/25/14","Theft","Paper/Films","No"
986,"PA",1845,"4/29/14","Loss","Paper/Films","No"
987,"MA",15265,"4/29/14","Other","Other","Yes"
988,"IL",5696,"4/30/14","Theft","Paper/Films","Yes"
989,"MA",2387,"5/5/14","Unauthorized Access/Disclosure","Electronic Medical Record, Paper/Films","No"
991,"IN",1008,"5/6/14","Other","Email","Yes"
992,"NJ",2828,"5/9/14","Theft, Unauthorized Access/Disclosure","Paper/Films","No"
993,"TX",1000,"5/10/14","Theft","Laptop","No"
994,"OR",17914,"5/19/14","Unauthorized Access/Disclosure","Other","No"
995,"MI",502,"5/19/14","Unauthorized Access/Disclosure","Email","Yes"
996,"NH",1208,"5/21/14","Theft","Desktop Computer","No"
997,"NJ",342197,"5/22/14","Theft","Email, Laptop","Yes"
998,"KY",2962,"5/23/14","Theft","Other Portable Electronic Device","No"
999,"NY",26162,"5/23/14","Unauthorized Access/Disclosure","Desktop Computer","No"
1000,"OH",594,"5/28/14","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server","No"
1001,"OK",3814,"5/30/14","Theft","Laptop","Yes"
1002,"KS",9640,"6/5/14","Unauthorized Access/Disclosure","Email","No"
1003,"MN",1304,"6/5/14","Other","Email","No"
1004,"CA",5845,"6/6/14","Theft","Desktop Computer","No"
1005,"PA",1801,"6/6/14","Unauthorized Access/Disclosure","Email, Other Portable Electronic Device","No"
1006,"IL",540,"6/6/14","Theft","Desktop Computer, Paper/Films","No"
1007,"GA",1175,"6/9/14","Unauthorized Access/Disclosure","Email","No"
1008,"FL",9255,"6/11/14","Theft","Other","Yes"
1009,"FL",1831,"6/12/14","Hacking/IT Incident","Other","Yes"
1010,"CA",33702,"6/13/14","Loss, Theft","Other Portable Electronic Device","No"
1011,"TX",2874,"6/13/14","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1012,"MI",2289,"6/16/14","Unauthorized Access/Disclosure","Email","No"
1013,"MD",620,"6/19/14","Unauthorized Access/Disclosure","Other","No"
1014,"NY",97000,"6/20/14","Hacking/IT Incident, Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device","No"
1015,"NY",872,"6/20/14","Theft","Laptop","No"
1016,"CA",5471,"6/20/14","Theft","Desktop Computer","No"
1017,"CO",750,"6/23/14","Theft","Laptop","No"
1018,"NY",2000,"6/24/14","Theft","Electronic Medical Record","No"
1019,"CA",563,"6/24/14","Theft","Laptop","No"
1020,"CA",14121,"6/24/14","Unauthorized Access/Disclosure","Email","No"
1021,"CA",6307,"6/25/14","Unauthorized Access/Disclosure","Email, Other","No"
1022,"AL",1200,"6/26/14","Theft","Electronic Medical Record","No"
1023,"MD",42713,"6/27/14","Theft","Laptop","No"
1024,"CA",592,"7/4/14","Unauthorized Access/Disclosure","Paper/Films","No"
1025,"AL",1100,"7/7/14","Hacking/IT Incident","Desktop Computer","No"
1026,"MT",1062509,"7/7/14","Hacking/IT Incident","Network Server","No"
1027,"PA",2589,"7/8/14","Theft","Paper/Films","Yes"
1028,"WA",6000,"7/8/14","Theft","Desktop Computer, Laptop","No"
1029,"IN",63325,"7/9/14","Unauthorized Access/Disclosure","Paper/Films","Yes"
1030,"AL",50918,"7/11/14","Other","Network Server","Yes"
1031,"NV",12000,"7/12/14","Theft","Network Server","No"
1032,"MD",620,"7/15/14","Loss","Paper/Films","No"
1033,"PA",661,"7/16/14","Theft","Paper/Films","No"
1034,"CA",2780,"7/16/14","Theft","Desktop Computer","No"
1035,"MN",500,"7/17/14","Unauthorized Access/Disclosure","Paper/Films","No"
1037,"IL",680,"7/23/14","Unauthorized Access/Disclosure","Network Server","Yes"
1038,"NY",3334,"7/23/14","Other","Network Server","Yes"
1039,"SC",38906,"7/25/14","Theft","Laptop","No"
1040,"AZ",3529,"7/25/14","Improper Disposal","Other","No"
1041,"CA",4000,"7/28/14","Unauthorized Access/Disclosure","Network Server","Yes"
1042,"AZ",13877,"7/29/14","Other, Theft, Unauthorized Access/Disclosure","Email, Network Server","No"
1043,"IL",982,"7/30/14","Theft","Laptop","No"
1044,"WA",522,"7/30/14","Theft","Paper/Films","No"
1045,"MN",4487,"7/31/14","Hacking/IT Incident","Network Server","Yes"
1046,"VA",2318,"7/31/14","Theft","Electronic Medical Record, Other","No"
1047,"OH",605,"8/6/14","Loss","Paper/Films","No"
1048,"NJ",36400,"8/7/14","Loss","Other","No"
1049,"GA",7016,"8/7/14","Unauthorized Access/Disclosure","Network Server","Yes"
1050,"UT",31677,"8/7/14","Hacking/IT Incident","Network Server","No"
1051,"GA",10104,"8/8/14","Hacking/IT Incident","Network Server","Yes"
1052,"TX",60582,"8/8/14","Hacking/IT Incident","Network Server","Yes"
1053,"CA",1251,"8/12/14","Hacking/IT Incident","Network Server","No"
1054,"CO",11551,"8/12/14","Other, Unauthorized Access/Disclosure","Other","No"
1055,"TN",28300,"8/12/14","Improper Disposal","Other","No"
1056,"CA",1674,"8/13/14","Improper Disposal, Loss, Theft","Other","Yes"
1057,"GA",520,"8/14/14","Hacking/IT Incident, Other","Network Server","Yes"
1058,"MA",10000,"8/15/14","Loss, Theft","Paper/Films","Yes"
1059,"CA",49714,"8/15/14","Improper Disposal, Loss, Theft","Paper/Films","Yes"
1060,"MO",4067,"8/15/14","Hacking/IT Incident","Network Server","Yes"
1061,"LA",6073,"8/15/14","Hacking/IT Incident","Network Server","No"
1062,"CA",500,"8/18/14","Theft","Paper/Films","No"
1063,"IL",13646,"8/19/14","Theft","Laptop","No"
1064,"TN",4500000,"8/20/14","Theft","Network Server","Yes"
1065,"OK",6000,"8/22/14","Unauthorized Access/Disclosure","Email","No"
1066,"OH",6141,"8/22/14","Theft","Network Server","No"
1067,"GA",2350,"8/25/14","Theft","Paper/Films","No"
1068,"MA",595,"8/26/14","Theft","Laptop, Other Portable Electronic Device","No"
1069,"FL",948,"8/26/14","Theft","Desktop Computer","No"
1070,"MO",1376,"8/26/14","Improper Disposal","Paper/Films","No"
1071,"NY",802,"8/27/14","Unauthorized Access/Disclosure","Paper/Films","No"
1072,"GA",720,"8/28/14","Improper Disposal","Other","No"
1073,"TN",1717,"8/29/14","Other","Other","No"
1074,"NC",10993,"8/29/14","Theft","Other Portable Electronic Device","No"
1075,"TX",10604,"8/29/14","Unauthorized Access/Disclosure","Desktop Computer","No"
1076,"CA",3206,"8/29/14","Theft","Desktop Computer, Network Server, Paper/Films","No"
1077,"GA",10000,"9/4/14","Unauthorized Access/Disclosure","Paper/Films","No"
1078,"TN",566,"9/4/14","Theft","Paper/Films","Yes"
1079,"PA",3780,"9/5/14","Theft","Desktop Computer","No"
1080,"IN",1464,"9/8/14","Unauthorized Access/Disclosure","Paper/Films","No"
1081,"NY",914,"9/9/14","Loss","Other Portable Electronic Device","No"
1082,"TX",789,"9/9/14","Loss, Theft","Laptop, Other Portable Electronic Device","No"
1083,"KY",697,"9/9/14","Unauthorized Access/Disclosure","Other","No"
1084,"FL",82601,"9/9/14","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","Yes"
1085,"SC",3637,"9/10/14","Unauthorized Access/Disclosure","Paper/Films","No"
1086,"IL",1866,"9/10/14","Unauthorized Access/Disclosure","Paper/Films","No"
1087,"TX",2e+06,"9/10/14","Unauthorized Access/Disclosure","Desktop Computer, Email, Laptop, Network Server, Other, Other Portable Electronic Device","Yes"
1088,"CA",33136,"9/10/14","Theft","Laptop","No"
1089,"FL",675,"9/12/14","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1090,"NM",843,"9/12/14","Theft","Other Portable Electronic Device","No"
1091,"TN",800,"9/12/14","Theft","Paper/Films","Yes"
1092,"IL",767,"9/17/14","Other","Email","Yes"
1093,"NM",2657,"9/18/14","Unauthorized Access/Disclosure","Paper/Films","No"
1094,"KY",4077,"9/22/14","Unauthorized Access/Disclosure","Other Portable Electronic Device","Yes"
1095,"CO",523,"9/26/14","Theft","Laptop","No"
1096,"LA",707,"9/26/14","Theft","Laptop, Other","No"
1097,"AL",2588,"9/30/14","Theft","Laptop","No"
1098,"MI",6302,"10/1/14","Unauthorized Access/Disclosure","Other","No"
1099,"NY",10793,"10/3/14","Theft","Laptop","No"
1100,"TN",307528,"10/3/14","Unauthorized Access/Disclosure","Network Server","No"
1101,"OR",1320,"10/6/14","Theft","Laptop","No"
1102,"NJ",585,"10/6/14","Unauthorized Access/Disclosure","Network Server","Yes"
1103,"PA",1667,"10/7/14","Unauthorized Access/Disclosure","Paper/Films","Yes"
1104,"TX",810,"10/8/14","Theft","Desktop Computer","No"
1105,"CA",1326,"10/8/14","Hacking/IT Incident","Email","No"
1106,"TX",4000,"10/9/14","Unauthorized Access/Disclosure","Paper/Films","No"
1107,"NC",1872,"10/9/14","Unauthorized Access/Disclosure","Paper/Films","No"
1108,"GA",3397,"10/9/14","Theft","Laptop","No"
1109,"NY",835,"10/10/14","Unauthorized Access/Disclosure","Other Portable Electronic Device","No"
1110,"CO",15380,"10/10/14","Unauthorized Access/Disclosure","Other","Yes"
1111,"TX",4500,"10/10/14","Hacking/IT Incident","Network Server","Yes"
1112,"NY",10058,"10/10/14","Unauthorized Access/Disclosure","Paper/Films","No"
1113,"VA",568,"10/10/14","Theft, Unauthorized Access/Disclosure","Paper/Films","No"
1114,"TX",1000,"10/15/14","Theft","Laptop","No"
1115,"CA",1863,"10/15/14","Theft","Other","No"
1116,"NJ",35357,"10/22/14","Unauthorized Access/Disclosure","Network Server","Yes"
1117,"KY",727,"10/22/14","Improper Disposal, Unauthorized Access/Disclosure","Paper/Films","No"
1118,"NY",20000,"10/22/14","Theft","Paper/Films","No"
1119,"FL",3500,"10/28/14","Theft","Network Server","No"
1120,"TX",507,"10/28/14","Loss","Other Portable Electronic Device","No"
1121,"OR",1740,"10/29/14","Theft","Paper/Films","No"
1122,"FL",1782,"10/30/14","Unauthorized Access/Disclosure","Email","No"
1123,"PA",13907,"10/31/14","Theft","Laptop","No"
1124,"FL",7888,"11/3/14","Theft","Desktop Computer, Network Server","No"
1125,"NC",76258,"11/7/14","Theft","Network Server","No"
1126,"NY",3936,"11/7/14","Theft","Electronic Medical Record, Laptop","No"
1127,"TX",74944,"11/10/14","Loss","Network Server","No"
1129,"CA",13177,"11/14/14","Theft","Network Server","No"
1130,"CA",2691,"11/14/14","Theft","Paper/Films","Yes"
1131,"AZ",1296,"11/14/14","Other","Email","No"
1132,"CA",30000,"11/15/14","Theft","Network Server","No"
1133,"MA",999,"11/17/14","Theft","Laptop, Other Portable Electronic Device","No"
1134,"PA",860,"11/19/14","Theft","Paper/Films","No"
1135,"NY",31980,"11/20/14","Other","Email","No"
1136,"FL",1449,"11/20/14","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1137,"TX",47683,"11/21/14","Theft","Network Server","No"
1138,"OH",542,"11/21/14","Theft","Laptop","No"
1139,"TX",4469,"11/25/14","Unauthorized Access/Disclosure","Paper/Films","Yes"
1140,"MN",1778,"11/25/14","Improper Disposal","Paper/Films","No"
1141,"AL",25764,"11/26/14","Theft","Network Server","Yes"
1142,"WY",1607,"12/1/14","Loss","Paper/Films","No"
1143,"UT",623,"12/5/14","Theft","Laptop","No"
1144,"FL",2477,"12/8/14","Other","Email","No"
1145,"KY",4500,"12/9/14","Theft","Laptop","No"
1146,"CA",30000,"12/12/14","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No"
1147,"AZ",616,"12/12/14","Unauthorized Access/Disclosure","Other Portable Electronic Device","No"
1148,"IL",12621,"12/12/14","Unauthorized Access/Disclosure","Other","No"
1149,"MI",1488,"12/12/14","Unauthorized Access/Disclosure","Email","No"
1150,"IL",160000,"12/15/14","Other","Paper/Films","No"
1151,"CO",5000,"12/19/14","Theft","Laptop","No"
1152,"OR",41000,"12/19/14","Theft","Laptop","No"
1155,"PA",12450,"12/26/14","Improper Disposal","Paper/Films","No"
1157,"FL",1859,"1/5/15","Unauthorized Access/Disclosure","Email","No"
1158,"TX",7029,"1/7/15","Hacking/IT Incident","Network Server","No"
