"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
1436,"UT",42372,"2/15/16","Hacking/IT Incident","Network Server","No"
1437,"FL",24188,"2/19/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1438,"TN",3000,"2/19/16","Theft","Network Server","No"
1439,"NY",1200,"2/24/16","Hacking/IT Incident","Desktop Computer","No"
1440,"MO",2393,"2/26/16","Unauthorized Access/Disclosure","Email","No"
1441,"AL",5000,"2/26/16","Unauthorized Access/Disclosure","Other","No"
1442,"WA",603,"2/26/16","Unauthorized Access/Disclosure","Paper/Films","No"
1443,"KS",52076,"2/26/16","Theft","Laptop","No"
1444,"WA",6248,"2/26/16","Hacking/IT Incident","Network Server","No"
1445,"MN",1550,"2/26/16","Hacking/IT Incident","Network Server","No"
1446,"MN",1550,"2/26/16","Hacking/IT Incident","Network Server","No"
1447,"IL",1349,"2/26/16","Theft","Other","No"
1448,"TX",43961,"2/26/16","Theft","Electronic Medical Record","No"
1449,"CO",2147,"2/27/16","Unauthorized Access/Disclosure","Network Server","No"
1450,"CT",3000,"2/29/16","Hacking/IT Incident","Other","No"
1451,"AR",4800,"3/1/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
1452,"NY",6893,"3/3/16","Theft","Laptop","No"
1453,"CA",1024,"3/4/16","Hacking/IT Incident","Email","No"
1454,"FL",2213597,"3/4/16","Hacking/IT Incident","Network Server","No"
1455,"AR",1669,"3/4/16","Unauthorized Access/Disclosure","Paper/Films","No"
1456,"IN",205748,"3/4/16","Theft","Laptop","No"
1457,"IL",880,"3/4/16","Theft","Paper/Films","No"
1458,"NE",5883,"3/7/16","Hacking/IT Incident","Electronic Medical Record, Network Server","No"
1459,"IL",26588,"3/8/16","Hacking/IT Incident","Electronic Medical Record, Network Server","No"
1460,"CT",500,"3/10/16","Unauthorized Access/Disclosure","Paper/Films","No"
1461,"NC",897,"3/10/16","Unauthorized Access/Disclosure","Other","No"
1462,"OH",677,"3/10/16","Unauthorized Access/Disclosure","Electronic Medical Record","No"
